Window_Minutes,Trial_ID,Model,Target,Cell,RMSE,MAE,MedAE,RMSE_frac,MAE_frac,MedAE_frac,r,R2,m,c
1,11,Random Forest,RUL,3,330.529364127981,233.59915254237288,159.0,0.07930554080337893,0.0560485969906466,0.03814965433102887,0.9915231596814331,0.9815756700532385,0.9455465966412607,201.80409976125276
1,11,Random Forest,RUL,4,2185.476644158469,2142.4324324324325,2047.0,0.8102468520427188,0.7942885771543086,0.7589078156312624,0.9911816012560721,-1.3092124148891089,1.2493389603051273,1469.8911286904922
1,11,Random Forest,RUL,5,1457.9288005469907,1336.5811965811968,1545.0,0.5536438483089838,0.5075624797143785,0.5867088607594937,0.9198036805048515,0.03436321606999537,0.8370922316274492,1765.5716532955798
1,11,Random Forest,RUL,6,1532.6233050302842,1414.8292682926829,1494.0,0.5845354000580618,0.5396093023255814,0.5698046511627907,0.9414784879214462,-0.0426117538643529,1.114980275561235,1098.5761067601752
1,11,Random Forest,RUL,7,2116.5692647807155,1892.3284313725492,2038.0,0.5388495320295345,0.4817608885560964,0.5188468738300261,0.9673254084054062,0.19421959684373347,0.5633640761888611,-101.15016789281512
1,11,Random Forest,RUL,8,1033.455502362012,729.0579710144928,420.0,0.2628397702284513,0.18542204201990417,0.10681901953556948,0.9316601466728663,0.8160911490767472,0.7031161258028319,1513.0376097056735
1,12,Random Forest,RUL,1,587.4076665031422,501.6,436.5,0.14997642549016396,0.12806808510638298,0.1114468085106383,0.9872368918747635,0.940795388208379,0.954996139364187,-265.23487917639807
1,12,Random Forest,RUL,2,808.3222708667844,537.020218579235,342.70000000000005,0.2037506550531977,0.1353646005509642,0.08638305785123968,0.9586929829127833,0.8775509646354734,1.089237781429781,-585.5225645793496
1,12,Random Forest,RUL,3,365.58565148785266,276.90796019900495,218.0,0.09092145007307396,0.06886723583271466,0.054216778025241275,0.9908723688327208,0.97733497360033,0.9183991277776858,279.82251208992466
1,12,Random Forest,RUL,4,2135.8117660505573,2068.55,1921.5,0.8067277681021935,0.7813220018885741,0.7257790368271955,0.9897392146568866,-0.9902723993030085,1.297175275892441,1281.7784570747635
